,"List of reported tornadoes – Monday, January 7, 2008","List of reported tornadoes – Monday, January 7, 2008","List of reported tornadoes – Monday, January 7, 2008","List of reported tornadoes – Monday, January 7, 2008","List of reported tornadoes – Monday, January 7, 2008","List of reported tornadoes – Monday, January 7, 2008",Unnamed: 6_level_0
22,EF3,N of Poplar Grove to NE of Lawrence,"Boone, McHenry",2130,13.2 miles (21 km),"Tornado initially caused minor damage to trees and a shed before striking an apple orchard at EF2 strength, where large trees were snapped and uprooted, a large barn was destroyed, and other buildings were severely damaged. EF3 damage occurred at a nearby farmstead as a poorly-anchored farmhouse was swept away with only the basement remaining, and large trees on the property were denuded (though overall context was not consistent with a violent tornado). Hay bales were rolled through fields as well. The tornado weakened further along the path, causing minor EF0 and EF1 damage to farmhouses, trees, power lines, barns, and sheds. The tornado strengthened again, reaching EF2 strength as it struck the small town of Lawrence, where extensive tree damage occurred, a house had more than half its roof torn off and its detached garage destroyed, other homes sustained shingle damage, and a train carrying hazardous materials was derailed, resulting in an evacuation of the town. Past Lawrence, the tornado overturned a semi-truck and caused EF1 damage to barns and trees before dissipating. It was the first tornado in northeastern Illinois in the month of January since 1950. Five people were injured.[71][72]",
23,EF1,S of Mackinaw,Tazewell,2322,3 miles (4.8 km),"Tornado destroyed a pole barn and damaged a house, along with a few outbuildings. In addition, a chain link fence and a few tree limbs were blown down.[73]",
24,EF0,SE of Pleasant Hill,Pike,0240,2.75 miles (4.4 km),Intermittent tornado caused some tree damage.[74],
25,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
26,EF3,SE of Walworth to NW of Paddock Lake,"Walworth, Kenosha",2202,10.8 miles (17 km),"This was the northernmost January tornado in the US since 1967. Near Walworth, the tornado uprooted trees and caused minor EF1 damage to homes and outbuildings. The tornado rapidly intensified to high-end EF3 strength, tearing through multiple subdivisions as it struck Wheatland, where 25 homes were destroyed, 27 sustained major damage, 25 sustained minor damage, and 7 were affected in some way. Further along the path, the tornado impacted the small town of Brighton, where 4 homes were destroyed, 3 sustained major damage, 3 sustained minor damage, and 10 were affected in some way. A large barn was destroyed before the tornado dissipated near Paddock Lake. Numerous large trees were snapped and denuded along the path, and 15 people were injured. Some of the homes destroyed were leveled, though they were poorly anchored and context did not support a rating higher than EF3.[75][76]",
27,EF1,Northern Kenosha,Kenosha,2239,2.4 miles  (3.9 km),"Rope tornado tracked through the northern part of Kenosha. 5 homes were left uninhabitable, 6 sustained major damage, and 21 others sustained minor damage. Power lines were toppled and numerous trees were snapped or uprooted as well.[77]",
28,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
29,EF0,S of Hiwasse,Benton,0205,unknown,"Brief tornado remained over open country, causing no damage.[78]",
30,EF0,E of Centerton,Benton,0250,unknown,"Brief tornado remained over open country, causing no damage.[79]",
31,EF1,SW of Decatur,Benton,0509,2.6 miles (4.2 km),Tornado caused extensive tree damage.[80],
32,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
33,EF0,SW of Watts,Adair,0208,unknown,"Brief tornado remained over open country, causing no damage.[81]",
34,EF0,N of Moodys,Cherokee,0428,unknown,"Tornado caused roof damage to homes, damaged several barns, and uprooted trees.[82]",
35,EF0,NE of Porter,Wagoner,0538,1 miles (1.6 km),Tornado caused extensive tree damage.[83],
36,EF0,NE of Wagoner,Wagoner,0554,2.7 miles (4.4 km),Tornado caused extensive tree damage.[83],
37,"Sources: Storm reports of January 7, 2008, NWS Milwaukee, NWS Springfield, KY3 News, NWS Chicago, NWS St. Louis, NWS Tulsa","Sources: Storm reports of January 7, 2008, NWS Milwaukee, NWS Springfield, KY3 News, NWS Chicago, NWS St. Louis, NWS Tulsa","Sources: Storm reports of January 7, 2008, NWS Milwaukee, NWS Springfield, KY3 News, NWS Chicago, NWS St. Louis, NWS Tulsa","Sources: Storm reports of January 7, 2008, NWS Milwaukee, NWS Springfield, KY3 News, NWS Chicago, NWS St. Louis, NWS Tulsa","Sources: Storm reports of January 7, 2008, NWS Milwaukee, NWS Springfield, KY3 News, NWS Chicago, NWS St. Louis, NWS Tulsa","Sources: Storm reports of January 7, 2008, NWS Milwaukee, NWS Springfield, KY3 News, NWS Chicago, NWS St. Louis, NWS Tulsa","Sources: Storm reports of January 7, 2008, NWS Milwaukee, NWS Springfield, KY3 News, NWS Chicago, NWS St. Louis, NWS Tulsa"
