,F#,Location,County,Time (UTC),Path length,Damage,Unnamed: 6
38,F1,SE of Chimes to NW of Woolum,Van Buren,2323,2.8 miles,"The tornado destroyed a barn, a shop, and a storage shed. A number of power poles and power lines were blown down as well.[1][3]",
39,F2,SSW of Pearcy to N of Piney,Garland,2326,13.8 miles,"Tornado rolled a mobile home into a tree near Pearcy, injuring one person. In the same area, several homes had mainly roof damage. The tornado then hit areas on the west side of Lake Hamilton, with structural damage to several homes and docks destroyed. Along the way, numerous trees were uprooted or snapped, with power lines downed.[1][3]",
40,F1,NNW of Woolum,Searcy,2327,2.7 miles,"The tornado downed trees and power lines, and caused roof damage to several homes.[1][3]",
41,F1,NW of Jessieville,Garland,2330,2.1 miles,"The tornado tracked through the Ouachita National Forest, snapping off and blowing down hundreds of trees.[1][3]",
42,F1,N of Jessieville to S of Deberrie,Saline,2332,6.1 miles,"Another tornado tracked through the Ouachita National Forest, snapping off and blowing down hundreds of trees.[1][3]",
43,F2,N of Adona to SW of Morrilton,Conway,2337,3.9 miles,"Tornado downed numerous trees, caused minor roof damage to a few homes, and damaged or destroyed outbuildings.[1][3]",
44,F3,SSW of Williams Junction to S of Oppello,Perry,2341,19 miles,"Worst damage occurred in the Cherry Hill area. The tornado initially tracked through the Ouachita National Forest where hundreds of trees were either snapped off or blown down. Once emerging from the forest area, the tornado downed 11 large steel transmission towers. As the tornado continued tracking to the northeast, a sawmill was destroyed, along with several houses. Several dozen other houses sustained damage and several mobile homes were overturned. Numerous vehicles were damaged or destroyed, as well as a number of barns and outbuildings. Several chicken houses also sustained damage, and power lines were downed.[1][3]",
45,F2,SSW of Blackwell,Pope,2342,2.3 miles,Tornado downed numerous trees and power lines.[1][3],
46,F2,Blackwell to E of Wonderview,Conway,2345,11.8 miles,"Tornado downed numerous trees, caused minor roof damage to a few homes, and damaged or destroyed outbuildings. The tornado also destroyed a liquor store as it crossed Interstate 40 in Blackwell.[1][3]",
47,F3,S of Oppello,Conway,0000,2 miles,A strong tornado downed numerous power lines and power poles.[1][3],
48,F3,SE of Lewisburg to Springfield,Conway,0009,15 miles,"1 death - At the beginning of the path, the tornado crossed Interstate 40 and tossed several vehicles, resulting in a fatality and seven injuries. In the same area, a lumber company was badly damaged. The tornado then moved through Hill Creek before dissipating just after passing through Springfield. A large barn that contained several boats and vehicles was destroyed, homes and businesses were heavily damaged or destroyed, and a fire station, numerous barns, outbuildings, and chicken houses were damaged. Mobile homes were overturned as well. There were hundreds of trees, power lines and power poles downed along the path. A total of eight people were injured.[1][3]",
49,F1,SE of Buford to SE of Mountain Home,Baxter,0015,3.7 miles,A barn roof was damaged and an outbuilding was destroyed. Trees were damaged as well.[1][3],
50,F1,S of Williams Junction,Perry,0025,0.8 miles,Several houses had roof damage and some trees were downed.[1][3],
51,F1,NNE of Paron,Pulaski,0026,2.2 miles,An old auto service garage was badly damaged and several homes had roof damage. Numerous trees and power lines were downed as well.[1][3],
52,F2,NNW of Springfield to Martinville,Conway,0027,6.1 miles,"Several homes had roofs blown off and a couple of mobile homes destroyed. About 3 miles northeast of Springfield, a collision repair and auto customizing shop were destroyed. A nearby mobile home was thrown into the business. Numerous trees, power poles and power lines were also knocked down.[1][3]",
53,F2,W of Damascus,Faulkner,0034,2.6 miles,Numerous trees and power lines were downed. Several homes also sustained minor roof damage.[1][3],
54,F2,W of Damascus to Bee Branch to SW of Eglantine,Van Buren,0037,13.1 miles,"Numerous barns and outbuildings either damaged or destroyed. A number of cars were damaged, and a few of which were overturned. Several mobile homes were damaged or destroyed and numerous trees, power poles and power lines were knocked down.[1][3]",
55,F1,"S of Bakersfield, MO",Fulton,0040,1.3 miles,A tornado caused mostly tree damage. There was also some damage to a house and two barns.[1][3],
56,F1,SSW of Eglantine to SW of Shirley,Van Buren,0055,3.7 miles,A few trees were snapped.[1][3],
57,F1,S of Wooster to Greenbrier,Faulkner,0059,7.7 miles,"A damaging tornado struck Greenbrier, where some outbuildings were destroyed, as was a dugout at a junior high school in Greenbrier. Many trees were blown down as well. Homes and mobile homes were damaged outside of town.[1][3]",
58,F1,SW of Higden,Cleburne,0102,2.7 miles,Trees were downed and the roof of a mobile home was damaged.[1][3],
59,F0,NE of Greenbrier to E of Guy,Faulkner,0111,4 miles,Caused minor roof damage to a house and a barn. A couple of small outbuildings were destroyed as well.[1][3],
60,F2,NW of Enders to NE of Guy,Van Buren,0119,0.8 miles,"Brief, but strong tornado caused some tree damage.[1][3]",
61,F2,W of Quitman to N of Pearson,Cleburne,0120,9.2 miles,"Tornado tore the roofs off of several houses and also destroyed a mobile home, a camper, a chicken house, and a few barns and outbuildings. Several other chicken houses were damaged, as well as some vehicles. Hundreds of trees, power lines, and power poles were downed. One person was injured.[1][3]",
62,F0,NE of Woodrow to ENE of Prim,Cleburne,0147,1.2 miles,"Tornado heavily damaged a barn, tore part of the roof from a chicken house, and downed trees.[1][3]",
63,F1,NE of Franklin to W of Ash Flat,Izard,0155,5.8 miles,"The tornado overturned two mobile homes, as well as a travel trailer. Several homes sustained roof damage. A pontoon boat was overturned and another was destroyed.[1][3]",
64,F1,W of Ash Flat,Sharp,0201,0.4 miles,Damage was limited to trees.[1][3],
65,F1,W of Ash Flat to NW of Cherokee Village,Fulton,0202,5.8 miles,"Several barns and outbuildings were damaged, and a few houses also sustained roof damage. Many trees and power lines were downed along the path.[1][3]",
66,F2,W of Marcella to Pleasant Grove,Stone,0205,7 miles,"Tornado struck the northwestern side of Pleasant Grove. It tore the porch off of a house and damaged the roof. A roof was removed from a barn with another barn roof damaged. Several homes had roof damage, and a shed was destroyed. Hundreds of trees were downed, with one tree landing on a flatbed truck.[1][3]",
67,F1,Pangburn,White,0244,2 miles,"Tornado moved directly through Pangburn, destroying a travel trailer and overturning a shed. There was also damage to the roof of a home and a barn and some trees were downed.[1][3]",
