,EF#,Location,County / Parish,State,Start Coord.,Time (UTC),Path length,Max width,Summary
12,EF0,NE of Falco,Covington,AL,31°03′47″N 86°34′12″W﻿ / ﻿31.063°N 86.5700°W,13:42–13:43,0.37 mi (0.60 km),50 yd (46 m),Several trees were snapped or uprooted.[65]
13,EF0,NE of Florala,Covington,AL,31°03′59″N 86°15′09″W﻿ / ﻿31.0665°N 86.2524°W,13:53,0.01 mi (0.016 km),25 yd (23 m),A grain bin was damaged by this brief tornado.[66]
14,EF1,E of Pelham,Mitchell,GA,31°07′53″N 84°09′45″W﻿ / ﻿31.1314°N 84.1624°W,16:05–16:10,2.4 mi (3.9 km),176 yd (161 m),"A large portion of the metal roof was ripped off an auto service building, and a nearby van was flipped. The metal awning at a warehouse, an outbuilding, and the roof of a home were damaged. Numerous trees were snapped or uprooted.[67]"
15,EF1,S of Moultrie to E of Adel,"Colquitt, Cook",GA,31°08′N 83°57′W﻿ / ﻿31.13°N 83.95°W,16:34–17:10,37.24 mi (59.93 km),650 yd (590 m),"A long-tracked, large, high-end EF1 tornado caused significant damage to a warehouse and caused minor roof damage to a home. Several billboards and tall signs were damaged as it crossed I-75. In Adel, large sections of two warehouses were torn away. A large shed was severely damaged, and numerous trees were snapped or uprooted, some of which were snapped near their bases.[68]"
16,EF0,NNW of Dupont,"Lanier, Clinch",GA,31°05′35″N 82°59′00″W﻿ / ﻿31.093°N 82.9832°W,17:28–17:34,2.24 mi (3.60 km),50 yd (46 m),Many trees were snapped and a home sustained roof damage.[69]
17,EF0,Northern Waycross to Bonneyman,"Ware, Pierce",GA,31°13′N 82°28′W﻿ / ﻿31.22°N 82.47°W,18:05–18:29,8.97 mi (14.44 km),50 yd (46 m),"A large tree was snapped, causing severe damage to the roof and walls of a mobile home upon falling.[70]"
18,EF0,S of Waycross to WSW of Schlatterville,Ware,GA,31°10′N 82°21′W﻿ / ﻿31.17°N 82.35°W,18:15–?,7.49 mi (12.05 km),unknown,A tornado snapped a large tree and it fell onto a mobile home causing severe damage to the roof and walls.[71][72]
19,EF0,SE of Bladen,Glynn,GA,31°11′21″N 81°40′08″W﻿ / ﻿31.1892°N 81.6689°W,18:59–19:00,0.47 mi (0.76 km),50 yd (46 m),A brief tornado caused no known damage.[73]
20,EF0,E of White Oak,Camden,GA,31°02′N 81°39′W﻿ / ﻿31.04°N 81.65°W,19:37–19:38,0.3 mi (0.48 km),50 yd (46 m),"A brief tornado touched down over remote marshland, causing no known damage.[74]"
21,EF1,Northern Fort Walton Beach,Okaloosa,FL,30°26′39″N 86°38′47″W﻿ / ﻿30.4442°N 86.6463°W,19:51–19:54,2.7 mi (4.3 km),50 yd (46 m),Numerous trees were snapped or uprooted in the northern part of Fort Walton Beach. Homes sustained minor damage to their siding and roofs.[75]
22,EF1,Defuniak Springs to WSW of Ponce De Leon,"Walton, Holmes",FL,30°43′N 86°07′W﻿ / ﻿30.71°N 86.12°W,20:13–20:20,9.07 mi (14.60 km),100 yd (91 m),"Four windows of a series of businesses at a strip mall were blown in. A large retail business had a portion of its roof peeled back and a few HVAC units tossed off. Numerous trees were snapped or uprooted, and business signs were downed.[76]"
23,EF0,SW of Bonifay,Washington,FL,30°43′42″N 85°44′28″W﻿ / ﻿30.7282°N 85.7412°W,20:33–20:36,2.68 mi (4.31 km),100 yd (91 m),Multiple trees were uprooted.[77]
24,EF2,SW of Chipley to SW of Marianna,"Washington, Jackson",FL,30°43′N 85°35′W﻿ / ﻿30.72°N 85.59°W,20:48–21:05,17.24 mi (27.75 km),400 yd (370 m),"Hundreds of trees were snapped or uprooted. A two-story outbuilding was completely destroyed at a farm, with debris tossed several hundred yards away. Several mobile homes sustained significant damage, including one that was demolished and had its frame wrapped around a tree.[78]"
25,EF0,Panama City Beach,Bay,FL,30°11′N 85°49′W﻿ / ﻿30.18°N 85.81°W,21:00–21:13,13.4 mi (21.6 km),75 yd (69 m),"A waterspout moved ashore in Panama City Beach, causing only minor damage there. Farther inland, several unsecured construction trailers and one camper trailer were destroyed.[79]"
26,EF0,N of Lynn Haven,Bay,FL,30°17′N 85°39′W﻿ / ﻿30.29°N 85.65°W,21:09–21:12,0.9 mi (1.4 km),50 yd (46 m),Tree limbs and power lines were damaged.[80]
27,EF1,SW of Lake Jackson to Bradfordville,Leon,FL,30°31′N 84°21′W﻿ / ﻿30.52°N 84.35°W,22:22–22:38,10.58 mi (17.03 km),600 yd (550 m),"This tornado moved through the north side of Tallahassee, snapping and uprooting numerous trees. One uprooted tree landed on a home.[81]"
28,EF1,NE of Wakulla Springs,Wakulla,FL,30°15′N 84°16′W﻿ / ﻿30.25°N 84.26°W,22:54–23:00,3.85 mi (6.20 km),100 yd (91 m),"Trees were snapped or uprooted, at least one of which fell onto a home.[82]"
29,EF1,Keaton Beach,Taylor,FL,29°50′N 83°36′W﻿ / ﻿29.83°N 83.6°W,23:56–00:00,0.46 mi (0.74 km),100 yd (91 m),"A tornadic waterspout moved ashore in Keaton Beach, ripping the concrete pilings out of the ground at a boat rental facility.[83]"
30,EF0,NW of Williford,Gilchrist,FL,29°50′N 82°52′W﻿ / ﻿29.84°N 82.87°W,01:11–01:12,0.6 mi (0.97 km),50 yd (46 m),"A brief tornado touched down over an unpopulated area, causing no damage.[84]"
